CNY_MidAutumnFestival;20160915;00:00;Mid-Autumn Festival;China;CNY;0
KRW_HarvestFestival;20160915;00:00;Harvest Festival ;South Korea;KRW;0
AUD_ConsumerInflationExpectations;20160915;01:00;Consumer Inflation Expectations;Australia;AUD;2
AUD_NewMotorVehicleSales;20160915;01:30;New Motor Vehicle Sales (MoM);Australia;AUD;1
AUD_RBAForeignExchangeTransaction;20160915;01:30;RBA Foreign Exchange Transaction;Australia;AUD;1
AUD_EmploymentChange;20160915;01:30;Employment Change s.a.;Australia;AUD;3
AUD_PartTimeEmployment;20160915;01:30;Part-Time Employment;Australia;AUD;1
AUD_FullTimeEmployment;20160915;01:30;Full-Time Employment;Australia;AUD;1
AUD_ParticipationRate;20160915;01:30;Participation Rate;Australia;AUD;2
AUD_UnemploymentRate;20160915;01:30;Unemployment Rate s.a.;Australia;AUD;3
AUD_RBABulletin;20160915;01:30;RBA Bulletin;Australia;AUD;2
IDR_Imports;20160915;04:00;Imports;Indonesia;IDR;1
IDR_TradeBalance;20160915;04:00;Trade Balance;Indonesia;IDR;1
IDR_Exports;20160915;04:00;Exports;Indonesia;IDR;1
AUD_RBAAnnualReport;20160915;05:00;RBA Annual Report;Australia;AUD;1
CHF_SNBInterestRateDecision;20160915;07:30;SNB Interest Rate Decision;Switzerland;CHF;3
SEK_UnemploymentRate;20160915;07:30;Unemployment Rate;Sweden;SEK;1
NOK_TradeBalance;20160915;08:00;Trade Balance;Norway;NOK;1
GBP_RetailSales;20160915;08:30;Retail Sales ex-Fuel (YoY);United Kingdom;GBP;2
EUR_EurTradeBalance;20160915;09:00;Trade Balance s.a.;European Monetary Union;EUR;2
EUR_EurHarmonizedIndexofConsumerPrices;20160915;09:00;Harmonized Index of Consumer Prices (MoM);European Monetary Union;EUR;2
EUR_EurCoreHarmonizedIndexofConsumerPrices;20160915;09:00;Core Harmonized Index of Consumer Prices (YoY);European Monetary Union;EUR;2
GBP_BoEAssetPurchaseFacility;20160915;11:00;BoE Asset Purchase Facility;United Kingdom;GBP;3
GBP_BoEInterestRateDecision;20160915;11:00;BoE Interest Rate Decision;United Kingdom;GBP;3
GBP_MonetaryPolicySummary;20160915;11:00;Monetary Policy Summary;United Kingdom;GBP;3
TRY_BudgetBalance;20160915;11:00;Budget Balance;Turkey;TRY;1
GBP_BoEMPCVoteRateUnchanged;20160915;11:00;BoE MPC Vote Rate Unchanged;United Kingdom;GBP;3
GBP_BoEMPCVoteRateCut;20160915;11:00;BoE MPC Vote Rate Cut;United Kingdom;GBP;3
GBP_BoEMPCVoteRateHike;20160915;11:00;BoE MPC Vote Rate Hike;United Kingdom;GBP;3
GBP_BankofEnglandMinutes;20160915;11:00;Bank of England Minutes;United Kingdom;GBP;3
INR_TradeDeficitGovernment;20160915;12:00;Trade Deficit Government;India;INR;1
USD_CurrentAccount;20160915;12:30;Current Account;United States;USD;1
USD_NYEmpireStateManufacturingIndex;20160915;12:30;NY Empire State Manufacturing Index;United States;USD;1
USD_RetailSales;20160915;12:30;Retail Sales ex Autos (MoM);United States;USD;2
USD_ProducerPriceIndex;20160915;12:30;Producer Price Index (MoM);United States;USD;1
USD_JoblessClaims;20160915;12:30;Continuing Jobless Claims;United States;USD;1
USD_PhiladelphiaFedManufacturingSurvey;20160915;12:30;Philadelphia Fed Manufacturing Survey;United States;USD;2
RUB_IndustrialOutput;20160915;13:00;Industrial Output;Russia;RUB;1
USD_IndustrialProduction;20160915;13:15;Industrial Production (MoM);United States;USD;2
USD_CapacityUtilization;20160915;13:15;Capacity Utilization;United States;USD;2
RUB_CentralBankReserves;20160915;13:51;Central Bank Reserves $;Russia;RUB;1
USD_BusinessInventories;20160915;14:00;Business Inventories;United States;USD;1
USD_EIANaturalGasStorageChange;20160915;14:30;EIA Natural Gas Storage Change;United States;USD;1
CLP_BCCHInterestRate;20160915;21:00;BCCH Interest Rate;Chile;CLP;1
COP_RetailSales;20160915;22:00;Retail Sales (YoY);Colombia;COP;1
COP_Industrialoutput;20160915;22:00;Industrial output (YoY);Colombia;COP;1
