AUD_ConsumerInflationExpectations;20230713;01:00;Consumer Inflation Expectations;Australia;AUD;2
KRW_BoKInterestRateDecision;20230713;01:00;BoK Interest Rate Decision;South Korea;KRW;2
CNY_Exports;20230713;03:00;Exports (YoY);China;CNY;2
CNY_Imports;20230713;03:00;Imports (YoY) CNY;China;CNY;2
CNY_TradeBalanceUSD;20230713;03:00;Trade Balance USD;China;CNY;2
CNY_TradeBalanceCNY;20230713;03:00;Trade Balance CNY;China;CNY;2
RON_IndustrialProduction;20230713;06:00;Industrial Production (MoM);Romania;RON;1
GBP_IndustrialProduction;20230713;06:00;Industrial Production (MoM);United Kingdom;GBP;2
GBP_ManufacturingProduction;20230713;06:00;Manufacturing Production (MoM);United Kingdom;GBP;2
RON_ConsumerPriceIndex;20230713;06:00;Consumer Price Index;Romania;RON;1
GBP_IndexofServices;20230713;06:00;Index of Services (3M/3M);United Kingdom;GBP;1
GBP_TradeBalancenonEU;20230713;06:00;Trade Balance non-EU;United Kingdom;GBP;1
GBP_TotalTradeBalance;20230713;06:00;Total Trade Balance;United Kingdom;GBP;1
GBP_GoodsTradeBalance;20230713;06:00;Goods Trade Balance;United Kingdom;GBP;1
GBP_GrossDomesticProduct;20230713;06:00;Gross Domestic Product (MoM);United Kingdom;GBP;2
HUF_IndustrialOutput;20230713;06:30;Industrial Output (YoY);Hungary;HUF;1
EUR_FraConsumerPriceIndex;20230713;06:45;Consumer Price Index (EU norm) (YoY);France;EUR;2
EUR_FraInflationextobacco;20230713;06:45;Inflation ex-tobacco (MoM);France;EUR;1
CZK_ConsumerPriceIndex;20230713;07:00;Consumer Price Index (YoY);Czech Republic;CZK;1
EUR_EurEurogroupMeeting;20230713;07:00;Eurogroup Meeting;European Monetary Union;EUR;1
GBP_BoECreditConditionsSurvey;20230713;08:30;BoE Credit Conditions Survey;United Kingdom;GBP;1
EUR_EurIndustrialProduction;20230713;09:00;Industrial Production w.d.a. (YoY);European Monetary Union;EUR;1
ILS_Imports;20230713;10:15;Imports;Israel;ILS;1
ILS_Exports;20230713;10:15;Exports;Israel;ILS;1
ILS_TradeBalance;20230713;10:15;Trade Balance;Israel;ILS;1
EUR_EurECBMonetaryPolicyMeetingAccounts;20230713;11:30;ECB Monetary Policy Meeting Accounts;European Monetary Union;EUR;2
GBP_NIESRGDPEstimate;20230713;12:00;NIESR GDP Estimate (3M);United Kingdom;GBP;1
USD_ProducerPriceIndex;20230713;12:30;Producer Price Index (YoY);United States;USD;2
USD_JoblessClaims;20230713;12:30;Continuing Jobless Claims;United States;USD;1
EUR_GerCurrentAccount;20230713;12:45;Current Account n.s.a.;Germany;EUR;1
RUB_CentralBankReserves;20230713;13:00;Central Bank Reserves $;Russia;RUB;1
USD_EIANaturalGasStorageChange;20230713;14:30;EIA Natural Gas Storage Change;United States;USD;1
USD_Auction;20230713;17:00;30-Year Bond Auction;United States;USD;1
USD_MonthlyBudgetStatement;20230713;18:00;Monthly Budget Statement;United States;USD;2
EUR_FraBastilleDay;20230713;22:00;Bastille Day;France;EUR;0
USD_CentralBankSpeech;20230713;22:45;Fed Waller speech;United States;USD;2
