CHF_UBSConsumptionIndicator;20161228;07:00;UBS Consumption Indicator;Switzerland;CHF;2
EUR_ItaBusinessConfidence;20161228;09:00;Business Confidence;Italy;EUR;1
EUR_ItaConsumerConfidence;20161228;09:00;Consumer Confidence;Italy;EUR;1
GBP_BBAMortgageApprovals;20161228;09:30;BBA Mortgage Approvals;United Kingdom;GBP;1
USD_MBAMortgageApplications;20161228;12:00;MBA Mortgage Applications;United States;USD;1
USD_RedbookIndex;20161228;13:55;Redbook Index (YoY);United States;USD;1
USD_PendingHomeSales;20161228;15:00;Pending Home Sales (MoM);United States;USD;2
USD_Auction;20161228;18:00;5-Year Note Auction;United States;USD;1
KRW_BOKManufacturingBSI;20161228;21:00;BOK Manufacturing BSI;South Korea;KRW;1
USD_APIWeeklyCrudeOilStock;20161228;21:30;API Weekly Crude Oil Stock;United States;USD;1
KRW_IndustrialOutputGrowth;20161228;23:00;Industrial Output Growth;South Korea;KRW;1
KRW_IndustrialOutput;20161228;23:00;Industrial Output (YoY);South Korea;KRW;1
KRW_ServiceSectorOutput;20161228;23:00;Service Sector Output;South Korea;KRW;1
JPY_BoJSummaryofOpinions;20161228;23:50;BoJ Summary of Opinions;Japan;JPY;1
