ARS_TaxRevenue;20180601;20:00;Tax Revenue (MoM);Argentina;ARS;1
JPY_CFTCJPYNCNetPositions;20180601;19:30;CFTC JPY NC Net Positions;Japan;JPY;1
USD_CFTCUSDNCNetPositions;20180601;19:30;CFTC USD NC Net Positions;United States;USD;1
USD_CFTCGoldNCNetPositions;20180601;19:30;CFTC Gold NC Net Positions;United States;USD;1
AUD_CFTCAUDNCNetPositions;20180601;19:30;CFTC AUD NC Net Positions;Australia;AUD;1
USD_CFTCOilNCNetPositions;20180601;19:30;CFTC Oil NC Net Positions;United States;USD;1
EUR_EurCFTCEURNCNetPositions;20180601;19:30;CFTC EUR NC Net Positions;European Monetary Union;EUR;1
GBP_CFTCGBPNCNetPositions;20180601;19:30;CFTC GBP NC Net Positions;United Kingdom;GBP;1
USD_TotalVehicleSales;20180601;19:30;Total Vehicle Sales;United States;USD;1
BRL_TradeBalance;20180601;19:00;Trade Balance;Brazil;BRL;1
USD_BakerHughesUSOilRigCount;20180601;17:00;Baker Hughes US Oil Rig Count;United States;USD;2
USD_ISMManufacturingPMI;20180601;14:00;ISM Manufacturing PMI;United States;USD;2
USD_ISMPricesPaid;20180601;14:00;ISM Prices Paid;United States;USD;2
USD_ConstructionSpending;20180601;14:00;Construction Spending (MoM);United States;USD;1
USD_MarkitManufacturingPMI;20180601;13:45;Markit Manufacturing PMI;United States;USD;1
CAD_MarkitManufacturingPMI;20180601;13:30;Markit Manufacturing PMI;Canada;CAD;2
BRL_HSBCPMIManufacturing;20180601;13:00;HSBC PMI Manufacturing;Brazil;BRL;1
USD_CentralBankSpeech;20180601;12:55;Fed Kashkari speech;United States;USD;2
USD_NonfarmPayrolls;20180601;12:30;Nonfarm Payrolls;United States;USD;3
USD_AverageHourlyEarnings;20180601;12:30;Average Hourly Earnings (YoY);United States;USD;3
USD_UnemploymentRate;20180601;12:30;Unemployment Rate;United States;USD;2
USD_AverageWeeklyHours;20180601;12:30;Average Weekly Hours;United States;USD;1
USD_LaborForceParticipationRate;20180601;12:30;Labor Force Participation Rate;United States;USD;2
ZAR_TotalNewVehicleSales;20180601;12:00;Total New Vehicle Sales;South Africa;ZAR;1
CZK_BudgetBalance;20180601;12:00;Budget Balance;Czech Republic;CZK;1
INR_FXReservesUSD;20180601;11:30;FX Reserves, USD;India;INR;1
TRY_Exports;20180601;09:00;Exports;Turkey;TRY;1
GBP_MarkitManufacturingPMI;20180601;08:30;Markit Manufacturing PMI;United Kingdom;GBP;2
EUR_ItaGrossDomesticProduct;20180601;08:00;Gross Domestic Product (YoY);Italy;EUR;2
EUR_GreMarkitManufacturingPMI;20180601;08:00;Markit Manufacturing PMI;Greece;EUR;1
NOK_RegisteredUnemployment;20180601;08:00;Registered Unemployment n.s.a;Norway;NOK;1
EUR_EurMarkitManufacturingPMI;20180601;08:00;Markit Manufacturing PMI;European Monetary Union;EUR;2
EUR_GerMarkitManufacturingPMI;20180601;07:55;Markit Manufacturing PMI;Germany;EUR;2
EUR_FraMarkitManufacturingPMI;20180601;07:50;Markit Manufacturing PMI;France;EUR;1
EUR_ItaMarkitManufacturingPMI;20180601;07:45;Markit Manufacturing PMI;Italy;EUR;1
CHF_SVMEPurchasingManagers'Index;20180601;07:30;SVME - Purchasing Managers' Index;Switzerland;CHF;1
CZK_MarkitPMI;20180601;07:30;Markit PMI;Czech Republic;CZK;1
TRY_ForeignArrivals;20180601;07:16;Foreign Arrivals;Turkey;TRY;1
EUR_SpaMarkitManufacturingPMI;20180601;07:15;Markit Manufacturing PMI;Spain;EUR;1
EUR_AusUnemployment;20180601;07:00;Unemployment;Austria;EUR;1
EUR_AusUnemploymentRate;20180601;07:00;Unemployment Rate;Austria;EUR;1
HUF_PurchasingManagerIndex;20180601;07:00;Purchasing Manager Index;Hungary;HUF;1
CZK_GrossDomesticProduct;20180601;07:00;Gross Domestic Product (YoY) 	;Czech Republic;CZK;1
HUF_TradeBalance;20180601;07:00;Trade Balance;Hungary;HUF;1
PLN_PurchasingManagerIndex;20180601;07:00;Purchasing Manager Index;Poland;PLN;2
AUD_RBACommodityIndexSDR;20180601;06:30;RBA Commodity Index SDR (YoY);Australia;AUD;1
SEK_PurchasingManagersIndexManufacturing;20180601;06:30;Purchasing Managers Index Manufacturing (MoM);Sweden;SEK;1
RUB_HSBCManufacturingPMI;20180601;06:00;HSBC Manufacturing PMI	;Russia;RUB;1
JPY_VehicleSales;20180601;05:00;Vehicle Sales (YoY);Japan;JPY;1
PEN_Inflation;20180601;05:00;Inflation;Peru;PEN;1
EUR_IrePurchasingManagerIndexManufacturing;20180601;05:00;Purchasing Manager Index Manufacturing;Ireland;EUR;1
CNY_CaixinManufacturingPMI;20180601;01:45;Caixin Manufacturing PMI;China;CNY;2
KRW_NikkeiMarkitManufacturingPMI;20180601;00:30;Nikkei Markit Manufacturing PMI;South Korea;KRW;1
JPY_NikkeiManufacturingPMI;20180601;00:30;Nikkei Manufacturing PMI;Japan;JPY;1
IDR_PancasilaDay;20180601;00:00;Pancasila Day;Indonesia;IDR;0
EUR_EurG7Meeting;20180601;00:00;G7 Meeting;European Monetary Union;EUR;3
KRW_TradeBalance;20180601;00:00;Trade Balance;South Korea;KRW;1
